most_info_gvm_print,most_info_gv_emails,most_info_gvm_website,most_info_gv_publications,most_info_media,most_info_wordofmouth_alumni,most_info_socialmedia,most_info_lanthorn,most_info_other,info_text,where_read,num_issues,website_enjoy_likert,website_navigate_likert,website_design_likert,website_connected_likert,website_proud_likert,print_enjoy_likert,print_design_likert,print_connected_likert,print_proud_likert,gvsu_engagement,num_articles,drive_to_website,website_only,website_engagment,website_engagment_text,action_saved_article,action_discussed_article,action_recommended_gv,action_attended_event,action_donated,action_visited_website,action_contacted_classmate,action_shared_article_social_media,action_shared_article_email,action_none,opting,comments,age,relation_alumni,relation_undergrad,relation_grad,relation_family_undergrad,relation_faculty,relation_family_faculty,relation_donor,relation_other,relation_text,avid_reader,key_pop,num_actions
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,5,5,3,4,4,5,3,3,Neutral,3,Email,No,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,The pictures associated with the articles are amazing!,17-24,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Agree,0,Email,Yes,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,3,5,5,5,5,5,3,3,3,3,Neutral,4,Email,Yes,Other,more historical content,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,66+,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
1,1,NA,NA,1,1,1,NA,NA,NA,Both,2,4,3,4,4,4,5,5,5,5,Agree,8,Social Media,No,Larger variety of content,NA,NA,1,NA,1,1,1,NA,1,1,NA,1,NA,36-49,1,NA,NA,NA,1,NA,1,NA,NA,5-10+ Articles,Alumni over 35,6
1,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,3,4,4,4,4,4,5,5,5,5,Neutral,5,Email,No,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Alumni over 35,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,4,4,5,4,4,4,5,4,4,Agree,0,Link within printed Issue,I don't know/I'm not sure,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,36-49,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,5,4,5,5,5,3,3,3,3,Agree,15,Email,Yes,Larger variety of content,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,2,"I answered ""neutral"" on questions about the printed magazine as I no longer receive it.  The printed magazine is very high quality.  But the on line version can be read anywhere, anytime.",66+,1,NA,NA,NA,NA,NA,1,NA,NA,5-10+ Articles,Alumni over 35,3
NA,1,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,5,5,5,4,5,3,3,3,3,Neutral,8,Email,Yes,I don't know/I'm not sure,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,66+,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Alumni over 35,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,2,3,3,5,3,5,3,5,4,5,Disagree,1,Email,Yes,More specific recommendations,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,36-49,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Other,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Print issues,3,3,3,4,3,3,5,5,4,4,Neutral,2,Social Media,I don't know/I'm not sure,I don't use the website,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,1,Email,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,66+,1,NA,NA,NA,NA,NA,1,NA,NA,0-4 articles,Alumni over 35,1
1,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,1,5,5,5,3,3,3,3,3,3,Neutral,3,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,66+,NA,NA,NA,NA,NA,NA,NA,1,NA,0-4 articles,Other,1
1,1,NA,NA,1,NA,NA,NA,NA,NA,Print issues,2,3,3,3,3,3,5,5,5,5,Neutral,1,Email,No,I don't use the website,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,4
1,NA,1,NA,NA,NA,NA,NA,NA,NA,Print issues,2,3,3,3,3,3,5,4,5,5,Neutral,15,Link within printed Issue,No,Larger variety of content,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Alumni over 35,2
NA,1,NA,1,NA,NA,NA,NA,NA,NA,GVM Website,0,5,5,4,3,3,1,1,1,1,Agree,6,Email,Yes,Larger variety of content,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,2,No more printed issues of the magazine.,25-35,NA,NA,NA,1,1,NA,NA,NA,NA,5-10+ Articles,Other,3
